cluster_hac,n_snippets,n_commits,n_cves,avg_score
0,12609,4077,3545,670.5366801490999
1,130,49,45,1040.8384615384616
2,129,5,6,1337.0
3,86,46,46,1021.8604651162791
4,146,18,45,111.96575342465754
5,54,33,31,479.81481481481484
6,105,57,55,720.2857142857143
7,50,41,42,415.38
8,85,42,43,1307.3764705882354
9,73,39,31,885.2602739726027
10,53,29,40,486.2830188679245
11,59,3,30,105.66101694915254
12,42,2,3,1337.0
13,77,60,65,480.93506493506493
14,37,22,20,239.45945945945945
15,85,48,54,631.6588235294117
16,44,31,22,704.4318181818181
17,121,55,59,452.20661157024796
