cluster_kmeans,n_snippets,n_commits,n_cves,avg_score
0,12579,4077,3549,673.672151999364
1,134,68,73,574.3880597014926
2,65,50,57,471.4769230769231
3,150,22,49,119.90666666666667
4,173,78,84,468.8670520231214
5,81,41,42,1305.9135802469136
6,92,53,52,689.1847826086956
7,42,37,35,752.1428571428571
8,128,51,43,950.46875
9,12,2,3,1337.0
10,42,36,37,357.64285714285717
11,60,4,31,105.66666666666667
12,122,62,72,755.7131147540983
13,41,22,20,638.2926829268292
14,76,37,32,923.2105263157895
15,21,3,3,89.61904761904762
16,156,11,11,1296.7371794871794
17,11,11,5,449.3636363636364
